center_nm,L,a,b,within_MacAdam_hull
370,0.0805677973963,10.3444081926,-17.4573958489,False
380,0.228585880276,26.3028075286,-33.8905583862,False
390,0.591843229007,54.0199882664,-52.7682835065,False
400,1.39405109666,82.8694879676,-72.6516093228,False
410,2.98962927438,108.220294563,-91.3661636867,False
420,5.86558787157,124.964816447,-106.209125406,False
430,10.3786220048,128.566734365,-114.701396821,False
440,15.4374575817,121.243761731,-117.166699841,False
450,20.8178879643,102.399778337,-112.983331479,False
460,26.5839359091,71.3971752647,-101.723200923,False
470,32.8163996318,28.9522335501,-83.651152184,False
480,39.5212542524,-22.0034764796,-59.8051452895,True
490,46.5404991147,-74.6518166806,-31.9625068103,True
500,53.5286941931,-116.694750645,-2.39934758313,True
510,60.018963525,-136.269465467,26.538217065,True
520,65.5420934382,-134.558390762,52.8875451802,True
530,69.7373681608,-120.255347073,75.3518780859,True
540,72.4112019472,-99.2736382074,93.3261885892,True
550,73.5339001841,-74.5704624287,106.72981542,True
560,73.1944575282,-47.9679389312,115.510891351,False
570,71.5458397139,-21.0026551436,118.027707432,False
580,68.7642855582,4.82008007141,115.88511528,False
590,65.0253330121,28.0214983102,110.716000098,False
600,60.4877012504,47.2830925307,103.517109453,False
610,55.2846729009,61.6599412775,94.8755600873,True
620,49.5332265098,70.765651051,85.1500793414,True
630,43.3604928066,74.8146255004,74.623131536,True
640,36.9265820629,74.501043206,63.5984028372,False
650,30.4233913588,70.7925361156,52.4232038156,False
660,24.0511520657,64.7315339458,41.4548818229,False
670,17.9907462088,57.2927393218,31.013933364,False
680,12.3866459315,49.3023538918,21.3548087477,False
690,7.36073573316,41.3286845465,12.6905088064,False
700,3.92288977197,29.7652049582,6.76350257137,False
710,2.01776339134,16.2978133157,3.47888167151,False
720,1.01154765223,8.24470167317,1.74404407703,False
